id	filename	md5	size	state
0c39adea-2781-4891-868b-41794ba127c2	65312630-1884-4160-b812-d932fc0a7c78.FPKM.txt.gz	66c31f2f98451c010e9e3056e1101986	492879	validated
0d5e282b-7de0-4e58-8a18-449bcabf8d6a	b2016510-5d0b-45be-b39a-a06baa68e6e0.FPKM.txt.gz	8817cf9bd8af987f093ef7c5139aa90a	514460	validated
2826f9e2-104d-4ca0-b211-329277972a63	ffb8427a-d1a3-4ae6-a2e0-424929197afb.FPKM.txt.gz	48dc0470b975c101169e0067db9ed57d	530974	validated
2eb27b36-4fd3-40ae-84f0-0e35e281f3ff	78264e6b-2e7d-4392-989c-053fdf0f2feb.FPKM.txt.gz	0acc9ff2ca54c11db7466a0addda0d67	524764	validated
41b8ac2d-5762-45e1-8a98-56943fd2daa4	4869e2a4-f182-41f1-8aed-52b5dd3b5c00.FPKM.txt.gz	b62bf354fa4ad3f5e845e39ea474a4fb	509990	validated
452973af-9ecf-4a85-b0c7-7f653e0030fd	73451252-7198-4187-93b0-16a76843c8c0.FPKM.txt.gz	ba3448c841b17bea0ae51965de3ad089	531296	validated
45894483-0c10-4949-abc8-0c3a1729e9b1	26019321-345c-44e3-87be-7a49f2ec04d1.FPKM.txt.gz	7260e0d818e967593b2650e8a52a28df	531605	validated
4b0cf5d3-8fc8-4c64-917b-c5eafa9eb471	22632bc1-36bc-4ee8-b05f-87d0e33c2166.FPKM.txt.gz	2b59d953a98a7e419b2e598cf7a3103a	511722	validated
5c0169d9-a5f9-4ec1-9cdb-968fafc19805	cf680d44-e1de-496c-b547-12a42cf831a3.FPKM.txt.gz	c36d6a75d04b670dd761a523d735c610	508777	validated
612a4ad6-bf9b-4486-b172-5bb2037fdcde	34826584-de8d-461d-8513-7410480fe93a.FPKM.txt.gz	5c99ace4563b87abbac9ceab3d17bac8	492257	validated
62d86d6c-f05f-40a5-947e-965344df8eb9	5fedc450-0d8e-4305-b27f-8f75801bf794.FPKM.txt.gz	1a31939120b5ebde4314b5c6c2886aba	530492	validated
68b46d1b-dced-48ac-b706-8b82ee0530b0	4f16b358-73bf-41de-80de-838ea58f5421.FPKM.txt.gz	f8017574727b5e01cff33fb1cd88aba7	505633	validated
68fbc68a-b49f-48bc-a450-68a2e06b4e8e	4640600f-7406-484d-9c2e-535abba8c2ff.FPKM.txt.gz	221d606a6b1c37e203aae7e938de57d5	516557	validated
6aa9ede1-e1fc-4de1-b234-9b44797d0b5f	d8ad327f-ef1f-4d9c-b4e9-bff17e71ddf7.FPKM.txt.gz	e40d970920b2f0038c897af68a4825be	503773	validated
724a78a8-a55d-4e70-b147-fc555f06353c	e32c7fe0-81ce-4cc8-880b-79d5cafa3dc1.FPKM.txt.gz	020f51c30c7ddbf3559e2c51e37a38c9	543562	validated
7c06a765-2099-4fc1-a59b-f543ffedc5ee	abe89868-a84c-42e9-8380-26e8cbde31da.FPKM.txt.gz	bab21d3acbaf76610affbd74cbd278c6	506367	validated
7f70a200-5c76-4ffb-b2c7-e789f3abccd2	1182a295-bb26-480f-9868-b2b7d03c8b9e.FPKM.txt.gz	1d9ff77a7540af425af05b0f79a9f754	508054	validated
82c7e7f6-8fa0-49a8-a707-b069089ef86e	a51c7a87-31d5-4086-8c3e-db7a35e5f8f0.FPKM.txt.gz	cde511c5c079196aa81a5f10bbbbf4ca	515437	validated
a8f505b6-4f24-4386-9689-d23d2cfc23d0	bcc52bb7-9c00-42cc-a31a-fb86b00ef089.FPKM.txt.gz	314fefe1b71c57d3b967714b07ac4f31	519506	validated
b445587e-c735-4e73-87c2-3e2c78f564be	a7229653-ce17-42d9-9b02-d65c9c496527.FPKM.txt.gz	4549c629e604728a93f1c78cd028d35a	531903	validated
c46b6d23-0e4c-49fc-b087-93b765dfc9a8	af5c9e80-5452-43b7-a4a2-5396b43f9491.FPKM.txt.gz	d1285a7fc0d708a2abb1bd512c6b4c9e	536922	validated
ce0418d7-a393-4bdd-87d5-2a75017a3a49	074f955e-0bcb-4252-990e-8864dc9beffd.FPKM.txt.gz	12c9b30403c09cd87c9c6726c5f28557	519300	validated
d7a98b19-3f91-4ecb-ad4d-20f96443e2c6	9cd81de0-2fc5-4325-ab0c-a0a368110e83.FPKM.txt.gz	1a7b40c0fc98c4e51566716a0a0d16c4	518983	validated
da9869fe-5bec-451d-acff-ddf3dcee9950	7429a1e0-5fb3-42c5-8f09-839d73f1fc72.FPKM.txt.gz	f3e01a1b051319cda298c20370b66889	520564	validated
e0e5e998-72c4-4da8-91ea-5cbc05ab9467	94cda1d7-c20f-4f95-a09f-74cc7f229aac.FPKM.txt.gz	c29afd8af1252a13db01def4398bce2c	498576	validated
e3dbb7e0-25b5-45f2-945c-6d45f76b6d2c	cfd39475-36d0-415f-8905-5c4b88fca039.FPKM.txt.gz	ad9575eb7ebe984f6e584d17170ddd70	530842	validated
