ENSG	HUGO	GAF	GENCODE
ENSG00000145040	UCN2	UCN2|90226	ENSG00000145040.3
ENSG00000145041	DCAF1	VPRBP|9730	ENSG00000145041.15
ENSG00000145050	MANF	MANF|7873	ENSG00000145050.15
ENSG00000145063	none	none	ENSG00000145063.14
ENSG00000145075	CCDC39	CCDC39|339829	ENSG00000145075.11
ENSG00000145087	STXBP5L	STXBP5L|9515	ENSG00000145087.12
ENSG00000145088	EAF2	EAF2|55840	ENSG00000145088.8
ENSG00000145103	ILDR1	ILDR1|286676	ENSG00000145103.12
ENSG00000145107	TM4SF19	TM4SF19|116211	ENSG00000145107.15
ENSG00000145113	MUC4	MUC4|4585	ENSG00000145113.21
ENSG00000145147	SLIT2	SLIT2|9353	ENSG00000145147.19
ENSG00000145191	EIF2B5	EIF2B5|8893	ENSG00000145191.11
ENSG00000145192	AHSG	AHSG|197	ENSG00000145192.12
ENSG00000145194	ECE2	ECE2|9718	ENSG00000145194.17
ENSG00000145198	VWA5B2	VWA5B2|90113	ENSG00000145198.14
ENSG00000145214	DGKQ	DGKQ|1609	ENSG00000145214.13
ENSG00000145216	FIP1L1	FIP1L1|81608	ENSG00000145216.15
ENSG00000145217	SLC26A1	SLC26A1|10861	ENSG00000145217.13
ENSG00000145220	LYAR	LYAR|55646	ENSG00000145220.13
ENSG00000145241	CENPC	CENPC1|1060	ENSG00000145241.10
ENSG00000145242	EPHA5	EPHA5|2044	ENSG00000145242.13
ENSG00000145244	CORIN	CORIN|10699	ENSG00000145244.11
ENSG00000145246	ATP10D	ATP10D|57205	ENSG00000145246.13
ENSG00000145247	OCIAD2	OCIAD2|132299	ENSG00000145247.11
ENSG00000145248	SLC10A4	SLC10A4|201780	ENSG00000145248.6
ENSG00000145283	SLC10A6	SLC10A6|345274	ENSG00000145283.7
ENSG00000145284	SCD5	SCD5|79966	ENSG00000145284.11
ENSG00000145287	PLAC8	PLAC8|51316	ENSG00000145287.10
ENSG00000145293	ENOPH1	ENOPH1|58478	ENSG00000145293.14
ENSG00000145309	CABS1	C4orf35|85438	ENSG00000145309.5
ENSG00000145321	GC	GC|2638	ENSG00000145321.12
ENSG00000145331	TRMT10A	RG9MTD2|93587	ENSG00000145331.13
ENSG00000145332	KLHL8	KLHL8|57563	ENSG00000145332.13
ENSG00000145335	SNCA	SNCA|6622	ENSG00000145335.15
ENSG00000145337	PYURF	PIGY|84992	ENSG00000145337.4
ENSG00000145348	TBCK	TBCK|93627	ENSG00000145348.16
ENSG00000145349	CAMK2D	CAMK2D|817	ENSG00000145349.16
ENSG00000145354	CISD2	CISD2|493856	ENSG00000145354.9
ENSG00000145358	DDIT4L	DDIT4L|115265	ENSG00000145358.6
ENSG00000145362	ANK2	ANK2|287	ENSG00000145362.16
ENSG00000145365	TIFA	TIFA|92610	ENSG00000145365.10
ENSG00000145375	SPATA5	SPATA5|166378	ENSG00000145375.7
ENSG00000145384	FABP2	FABP2|2169	ENSG00000145384.3
ENSG00000145386	CCNA2	CCNA2|890	ENSG00000145386.9
ENSG00000145388	METTL14	METTL14|57721	ENSG00000145388.14
ENSG00000145390	USP53	USP53|54532	ENSG00000145390.11
ENSG00000145391	SETD7	SETD7|80854	ENSG00000145391.13
ENSG00000145414	NAF1	NAF1|92345	ENSG00000145414.8
ENSG00000145416	MARCH1	none	ENSG00000145416.13
ENSG00000145423	SFRP2	SFRP2|6423	ENSG00000145423.4
ENSG00000145425	RPS3A	RPS3A|6189	ENSG00000145425.9
ENSG00000145428	RNF175	RNF175|285533	ENSG00000145428.14
ENSG00000145431	PDGFC	PDGFC|56034	ENSG00000145431.10
ENSG00000145439	CBR4	CBR4|84869	ENSG00000145439.11
ENSG00000145451	GLRA3	GLRA3|8001	ENSG00000145451.12
ENSG00000145476	CYP4V2	CYP4V2|285440	ENSG00000145476.15
ENSG00000145491	ROPN1L	ROPN1L|83853	ENSG00000145491.11
ENSG00000145494	NDUFS6	NDUFS6|4726	ENSG00000145494.11
ENSG00000145495	MARCH6	MARCH6|10299	ENSG00000145495.14
ENSG00000145506	NKD2	NKD2|85409	ENSG00000145506.13
ENSG00000145526	CDH18	CDH18|1016	ENSG00000145526.11
ENSG00000145536	ADAMTS16	ADAMTS16|170690	ENSG00000145536.15
ENSG00000145545	SRD5A1	SRD5A1|6715	ENSG00000145545.11
ENSG00000145555	MYO10	MYO10|4651	ENSG00000145555.14
ENSG00000145569	FAM105A	FAM105A|54491	ENSG00000145569.5
ENSG00000145592	RPL37	none	ENSG00000145592.13
ENSG00000145604	SKP2	SKP2|6502	ENSG00000145604.15
ENSG00000145623	OSMR	OSMR|9180	ENSG00000145623.12
ENSG00000145626	UGT3A1	UGT3A1|133688	ENSG00000145626.11
ENSG00000145632	PLK2	PLK2|10769	ENSG00000145632.14
ENSG00000145642	FAM159B	none	ENSG00000145642.11
ENSG00000145649	GZMA	GZMA|3001	ENSG00000145649.7
ENSG00000145675	PIK3R1	PIK3R1|5295	ENSG00000145675.14
ENSG00000145681	HAPLN1	HAPLN1|1404	ENSG00000145681.10
ENSG00000145685	LHFPL2	LHFPL2|10184	ENSG00000145685.13
ENSG00000145687	SSBP2	none	ENSG00000145687.15
ENSG00000145692	BHMT	BHMT|635	ENSG00000145692.14
ENSG00000145700	ANKRD31	ANKRD31|256006	ENSG00000145700.9
ENSG00000145703	IQGAP2	IQGAP2|10788	ENSG00000145703.15
ENSG00000145708	CRHBP	CRHBP|1393	ENSG00000145708.10
ENSG00000145715	RASA1	RASA1|5921	ENSG00000145715.14
ENSG00000145721	LIX1	LIX1|167410	ENSG00000145721.11
ENSG00000145723	GIN1	GIN1|54826	ENSG00000145723.16
ENSG00000145725	PPIP5K2	PPIP5K2|23262	ENSG00000145725.19
ENSG00000145730	PAM	PAM|5066	ENSG00000145730.20
ENSG00000145734	BDP1	BDP1|55814	ENSG00000145734.18
ENSG00000145736	GTF2H2	GTF2H2|2966	ENSG00000145736.14
ENSG00000145740	SLC30A5	SLC30A5|64924	ENSG00000145740.18
ENSG00000145741	BTF3	BTF3|689	ENSG00000145741.15
ENSG00000145743	FBXL17	FBXL17|64839	ENSG00000145743.15
ENSG00000145757	SPATA9	SPATA9|83890	ENSG00000145757.15
ENSG00000145777	TSLP	TSLP|85480	ENSG00000145777.14
ENSG00000145779	TNFAIP8	TNFAIP8|25816	ENSG00000145779.7
ENSG00000145780	FEM1C	FEM1C|56929	ENSG00000145780.7
ENSG00000145781	COMMD10	COMMD10|51397	ENSG00000145781.8
ENSG00000145782	ATG12	ATG12|9140	ENSG00000145782.12
ENSG00000145794	MEGF10	MEGF10|84466	ENSG00000145794.16
ENSG00000145808	ADAMTS19	ADAMTS19|171019	ENSG00000145808.8
ENSG00000145817	YIPF5	YIPF5|81555	ENSG00000145817.16
ENSG00000145819	ARHGAP26	ARHGAP26|23092	ENSG00000145819.15
ENSG00000145824	CXCL14	CXCL14|9547	ENSG00000145824.12
ENSG00000145826	LECT2	LECT2|3950	ENSG00000145826.8
ENSG00000145832	SLC25A48	LOC153328|153328	ENSG00000145832.12
ENSG00000145833	DDX46	DDX46|9879	ENSG00000145833.15
ENSG00000145835	CDKN2AIPNLP2	none	ENSG00000145835.6
ENSG00000145839	IL9	IL9|3578	ENSG00000145839.1
ENSG00000145850	TIMD4	TIMD4|91937	ENSG00000145850.8
ENSG00000145860	RNF145	RNF145|153830	ENSG00000145860.11
ENSG00000145861	C1QTNF2	C1QTNF2|114898	ENSG00000145861.7
ENSG00000145863	GABRA6	GABRA6|2559	ENSG00000145863.10
ENSG00000145864	GABRB2	GABRB2|2561	ENSG00000145864.12
ENSG00000145868	FBXO38	FBXO38|81545	ENSG00000145868.16
ENSG00000145879	SPINK7	SPINK7|84651	ENSG00000145879.10
ENSG00000145882	PCYOX1L	PCYOX1L|78991	ENSG00000145882.10
ENSG00000145888	GLRA1	GLRA1|2741	ENSG00000145888.10
ENSG00000145901	TNIP1	TNIP1|10318	ENSG00000145901.14
ENSG00000145907	G3BP1	none	ENSG00000145907.14
ENSG00000145908	ZNF300	ZNF300|91975	ENSG00000145908.12
ENSG00000145911	N4BP3	N4BP3|23138	ENSG00000145911.5
ENSG00000145912	NHP2	NHP2|55651	ENSG00000145912.8
ENSG00000145916	RMND5B	RMND5B|64777	ENSG00000145916.18
ENSG00000145919	BOD1	BOD1|91272	ENSG00000145919.10
ENSG00000145920	CPLX2	CPLX2|10814	ENSG00000145920.14
ENSG00000145934	TENM2	ODZ2|57451	ENSG00000145934.15
ENSG00000145936	KCNMB1	KCNMB1|3779	ENSG00000145936.8
ENSG00000145945	FAM50B	FAM50B|26240	ENSG00000145945.5
ENSG00000145949	MYLK4	MYLK4|340156	ENSG00000145949.9
ENSG00000145965	none	none	none
ENSG00000145975	FAM217A	C6orf146|222826	ENSG00000145975.13
ENSG00000145979	TBC1D7	TBC1D7|51256	ENSG00000145979.17
ENSG00000145982	FARS2	FARS2|10667	ENSG00000145982.11
ENSG00000145990	GFOD1	GFOD1|54438	ENSG00000145990.10
ENSG00000145996	CDKAL1	CDKAL1|54901	ENSG00000145996.11
ENSG00000146001	PCDHB18P	PCDHB18|54660	ENSG00000146001.5
ENSG00000146005	PSD2	PSD2|84249	ENSG00000146005.3
ENSG00000146006	LRRTM2	LRRTM2|26045	ENSG00000146006.7
ENSG00000146007	ZMAT2	ZMAT2|153527	ENSG00000146007.10
ENSG00000146013	GFRA3	GFRA3|2676	ENSG00000146013.10
ENSG00000146021	KLHL3	KLHL3|26249	ENSG00000146021.14
ENSG00000146038	DCDC2	DCDC2|51473	ENSG00000146038.11
ENSG00000146039	SLC17A4	SLC17A4|10050	ENSG00000146039.10
ENSG00000146047	HIST1H2BA	HIST1H2BA|255626	ENSG00000146047.5
ENSG00000146049	KAAG1	KAAG1|353219	ENSG00000146049.1
ENSG00000146054	TRIM7	TRIM7|81786	ENSG00000146054.17
ENSG00000146063	TRIM41	TRIM41|90933	ENSG00000146063.18
ENSG00000146066	HIGD2A	HIGD2A|192286	ENSG00000146066.2
ENSG00000146067	FAM193B	FAM193B|54540	ENSG00000146067.15
ENSG00000146070	PLA2G7	PLA2G7|7941	ENSG00000146070.16
ENSG00000146072	TNFRSF21	TNFRSF21|27242	ENSG00000146072.6
ENSG00000146083	RNF44	RNF44|22838	ENSG00000146083.11
ENSG00000146085	MUT	MUT|4594	ENSG00000146085.7
ENSG00000146090	RASGEF1C	RASGEF1C|255426	ENSG00000146090.15
ENSG00000146094	DOK3	DOK3|79930	ENSG00000146094.13
ENSG00000146109	ABT1	ABT1|29777	ENSG00000146109.4
ENSG00000146112	PPP1R18	KIAA1949|170954	ENSG00000146112.11
ENSG00000146122	DAAM2	DAAM2|23500	ENSG00000146122.16
ENSG00000146143	PRIM2	PRIM2|5558	ENSG00000146143.17
ENSG00000146147	MLIP	C6orf142|90523	ENSG00000146147.14
ENSG00000146151	HMGCLL1	HMGCLL1|54511	ENSG00000146151.12
ENSG00000146166	LGSN	LGSN|51557	ENSG00000146166.16
ENSG00000146192	FGD2	FGD2|221472	ENSG00000146192.14
ENSG00000146197	SCUBE3	SCUBE3|222663	ENSG00000146197.8
ENSG00000146205	ANO7	ANO7|50636	ENSG00000146205.13
ENSG00000146215	CRIP3	CRIP3|401262	ENSG00000146215.13
ENSG00000146216	TTBK1	TTBK1|84630	ENSG00000146216.11
ENSG00000146221	TCTE1	TCTE1|202500	ENSG00000146221.9
ENSG00000146223	RPL7L1	RPL7L1|285855	ENSG00000146223.14
ENSG00000146232	NFKBIE	NFKBIE|4794	ENSG00000146232.14
ENSG00000146233	CYP39A1	CYP39A1|51302	ENSG00000146233.7
ENSG00000146242	TPBG	TPBG|7162	ENSG00000146242.8
ENSG00000146243	IRAK1BP1	IRAK1BP1|134728	ENSG00000146243.13
ENSG00000146247	PHIP	PHIP|55023	ENSG00000146247.13
ENSG00000146250	PRSS35	PRSS35|167681	ENSG00000146250.6
ENSG00000146263	MMS22L	C6orf167|253714	ENSG00000146263.11
ENSG00000146267	FAXC	C6orf168|84553	ENSG00000146267.11
ENSG00000146276	GABRR1	GABRR1|2569	ENSG00000146276.11
ENSG00000146278	PNRC1	PNRC1|10957	ENSG00000146278.10
ENSG00000146281	PM20D2	PM20D2|135293	ENSG00000146281.5
ENSG00000146282	RARS2	RARS2|57038	ENSG00000146282.17
ENSG00000146285	SCML4	SCML4|256380	ENSG00000146285.13
ENSG00000146350	TBC1D32	C6orf170|221322	ENSG00000146350.13
ENSG00000146352	CLVS2	CLVS2|134829	ENSG00000146352.12
ENSG00000146360	GPR6	GPR6|2830	ENSG00000146360.8
ENSG00000146373	RNF217	none	ENSG00000146373.16
ENSG00000146374	RSPO3	RSPO3|84870	ENSG00000146374.13
ENSG00000146376	ARHGAP18	ARHGAP18|93663	ENSG00000146376.10
ENSG00000146378	TAAR2	TAAR2|9287	ENSG00000146378.6
ENSG00000146383	TAAR6	TAAR6|319100	ENSG00000146383.7
ENSG00000146385	TAAR8	TAAR8|83551	ENSG00000146385.1
ENSG00000146386	ABRACL	C6orf115|58527	ENSG00000146386.7
ENSG00000146399	TAAR1	TAAR1|134864	ENSG00000146399.1
ENSG00000146409	SLC18B1	C6orf192|116843	ENSG00000146409.10
ENSG00000146410	MTFR2	FAM54A|113115	ENSG00000146410.11
ENSG00000146411	SLC2A12	SLC2A12|154091	ENSG00000146411.5
ENSG00000146414	SHPRH	SHPRH|257218	ENSG00000146414.15
ENSG00000146416	AIG1	AIG1|51390	ENSG00000146416.16
ENSG00000146425	DYNLT1	none	ENSG00000146425.10
ENSG00000146426	TIAM2	TIAM2|26230	ENSG00000146426.17
ENSG00000146433	TMEM181	TMEM181|57583	ENSG00000146433.8
ENSG00000146453	PNLDC1	PNLDC1|154197	ENSG00000146453.12
ENSG00000146457	WTAP	WTAP|9589	ENSG00000146457.14
ENSG00000146463	ZMYM4	ZMYM4|9202	ENSG00000146463.11
ENSG00000146469	VIP	VIP|7432	ENSG00000146469.12
ENSG00000146476	ARMT1	C6orf211|79624	ENSG00000146476.10
ENSG00000146477	SLC22A3	SLC22A3|6581	ENSG00000146477.5
ENSG00000146521	LINC01558	C6orf123|26238	ENSG00000146521.9
ENSG00000146530	VWDE	VWDE|221806	ENSG00000146530.11
ENSG00000146535	GNA12	GNA12|2768	ENSG00000146535.13
ENSG00000146540	C7orf50	none	ENSG00000146540.14
ENSG00000146555	SDK1	SDK1|221935	ENSG00000146555.18
ENSG00000146556	WASH2P	WASH2P|375260	ENSG00000146556.14
ENSG00000146574	CCZ1B	C7orf28B|221960	ENSG00000146574.15
ENSG00000146576	C7orf26	C7orf26|79034	ENSG00000146576.12
ENSG00000146587	RBAK	RBAK|57786	ENSG00000146587.17
ENSG00000146592	CREB5	CREB5|9586	ENSG00000146592.16
ENSG00000146618	FERD3L	FERD3L|222894	ENSG00000146618.3
ENSG00000146648	EGFR	EGFR|1956	ENSG00000146648.15
ENSG00000146666	LINC00525	none	ENSG00000146666.5
ENSG00000146670	CDCA5	CDCA5|113130	ENSG00000146670.9
ENSG00000146674	IGFBP3	IGFBP3|3486	ENSG00000146674.14
ENSG00000146676	PURB	PURB|5814	ENSG00000146676.6
ENSG00000146677	none	none	ENSG00000146677.7
ENSG00000146678	IGFBP1	IGFBP1|3484	ENSG00000146678.9
ENSG00000146700	SSC4D	SRCRB4D|136853	ENSG00000146700.8
ENSG00000146701	MDH2	MDH2|4191	ENSG00000146701.11
ENSG00000146707	POMZP3	POMZP3|22932	ENSG00000146707.14
ENSG00000146722	none	none	ENSG00000146722.11
ENSG00000146729	GBAS	GBAS|2631	ENSG00000146729.9
ENSG00000146731	CCT6A	CCT6A|908	ENSG00000146731.10
ENSG00000146733	PSPH	PSPH|5723	ENSG00000146733.13
ENSG00000146755	TRIM50	TRIM50|135892	ENSG00000146755.10
ENSG00000146757	ZNF92	ZNF92|168374	ENSG00000146757.13
ENSG00000146776	ATXN7L1	ATXN7L1|222255	ENSG00000146776.14
ENSG00000146802	TMEM168	TMEM168|64418	ENSG00000146802.12
ENSG00000146809	ASB15	ASB15|142685	ENSG00000146809.12
ENSG00000146826	C7orf43	C7orf43|55262	ENSG00000146826.14
ENSG00000146828	SLC12A9	SLC12A9|56996	ENSG00000146828.17
ENSG00000146830	GIGYF1	GIGYF1|64599	ENSG00000146830.9
ENSG00000146833	TRIM4	TRIM4|89122	ENSG00000146833.15
ENSG00000146834	MEPCE	MEPCE|56257	ENSG00000146834.13
ENSG00000146839	ZAN	ZAN|7455	ENSG00000146839.18
ENSG00000146842	TMEM209	TMEM209|84928	ENSG00000146842.16
ENSG00000146856	AGBL3	AGBL3|340351	ENSG00000146856.14
ENSG00000146857	STRA8	STRA8|346673	ENSG00000146857.3
ENSG00000146858	ZC3HAV1L	ZC3HAV1L|92092	ENSG00000146858.7
ENSG00000146859	TMEM140	TMEM140|55281	ENSG00000146859.6
ENSG00000146872	TLK2	TLK2|11011	ENSG00000146872.17
ENSG00000146904	EPHA1	EPHA1|2041	ENSG00000146904.8
ENSG00000146909	NOM1	NOM1|64434	ENSG00000146909.7
ENSG00000146910	CNPY1	CNPY1|285888	ENSG00000146910.11
ENSG00000146918	NCAPG2	NCAPG2|54892	ENSG00000146918.19
ENSG00000146926	ASB10	ASB10|136371	ENSG00000146926.10
ENSG00000146938	NLGN4X	NLGN4X|57502	ENSG00000146938.14
ENSG00000146950	SHROOM2	SHROOM2|357	ENSG00000146950.12
ENSG00000146955	RAB19	RAB19|401409	ENSG00000146955.10
ENSG00000146963	LUC7L2	LUC7L2|51631	ENSG00000146963.17
ENSG00000146966	DENND2A	DENND2A|27147	ENSG00000146966.12
ENSG00000147003	TMEM27	TMEM27|57393	ENSG00000147003.5
ENSG00000147010	SH3KBP1	SH3KBP1|30011	ENSG00000147010.17
ENSG00000147027	TMEM47	TMEM47|83604	ENSG00000147027.3
ENSG00000147036	LANCL3	LANCL3|347404	ENSG00000147036.11
ENSG00000147041	SYTL5	SYTL5|94122	ENSG00000147041.11
ENSG00000147044	CASK	CASK|8573	ENSG00000147044.20
ENSG00000147050	KDM6A	KDM6A|7403	ENSG00000147050.14
ENSG00000147059	SPIN2A	SPIN2A|54466	ENSG00000147059.8
ENSG00000147065	MSN	MSN|4478	ENSG00000147065.16
ENSG00000147081	AKAP4	AKAP4|8852	ENSG00000147081.14
ENSG00000147082	CCNB3	CCNB3|85417	ENSG00000147082.17
ENSG00000147099	HDAC8	HDAC8|55869	ENSG00000147099.19
ENSG00000147100	SLC16A2	SLC16A2|6567	ENSG00000147100.9
ENSG00000147113	CXorf36	CXorf36|79742	ENSG00000147113.16
ENSG00000147117	ZNF157	ZNF157|7712	ENSG00000147117.7
ENSG00000147118	ZNF182	ZNF182|7569	ENSG00000147118.10
ENSG00000147119	CHST7	CHST7|56548	ENSG00000147119.3
ENSG00000147121	KRBOX4	ZNF673|55634	ENSG00000147121.15
ENSG00000147123	NDUFB11	NDUFB11|54539	ENSG00000147123.10
ENSG00000147124	ZNF41	ZNF41|7592	ENSG00000147124.12
ENSG00000147127	RAB41	RAB41|347517	ENSG00000147127.8
ENSG00000147130	ZMYM3	ZMYM3|9203	ENSG00000147130.14
ENSG00000147133	TAF1	TAF1|6872	ENSG00000147133.15
ENSG00000147138	GPR174	GPR174|84636	ENSG00000147138.1
ENSG00000147140	NONO	NONO|4841	ENSG00000147140.15
ENSG00000147144	CCDC120	CCDC120|90060	ENSG00000147144.12
ENSG00000147145	LPAR4	LPAR4|2846	ENSG00000147145.12
ENSG00000147155	EBP	EBP|10682	ENSG00000147155.10
ENSG00000147160	AWAT2	AWAT2|158835	ENSG00000147160.9
ENSG00000147162	OGT	OGT|8473	ENSG00000147162.13
ENSG00000147164	SNX12	none	ENSG00000147164.11
ENSG00000147166	ITGB1BP2	ITGB1BP2|26548	ENSG00000147166.10
ENSG00000147168	IL2RG	IL2RG|3561	ENSG00000147168.12
ENSG00000147174	GCNA	ACRC|93953	ENSG00000147174.11
ENSG00000147180	ZNF711	ZNF711|7552	ENSG00000147180.16
ENSG00000147183	CPXCR1	CPXCR1|53336	ENSG00000147183.9
ENSG00000147202	DIAPH2	DIAPH2|1730	ENSG00000147202.17
ENSG00000147206	NXF3	NXF3|56000	ENSG00000147206.16
ENSG00000147223	RIPPLY1	RIPPLY1|92129	ENSG00000147223.5
ENSG00000147224	PRPS1	PRPS1|5631	ENSG00000147224.10
ENSG00000147231	CXorf57	CXorf57|55086	ENSG00000147231.13
ENSG00000147234	FRMPD3	none	ENSG00000147234.10
ENSG00000147246	HTR2C	HTR2C|3358	ENSG00000147246.9
ENSG00000147251	DOCK11	DOCK11|139818	ENSG00000147251.15
ENSG00000147255	IGSF1	IGSF1|3547	ENSG00000147255.17
ENSG00000147256	ARHGAP36	ARHGAP36|158763	ENSG00000147256.10
ENSG00000147257	GPC3	GPC3|2719	ENSG00000147257.13
ENSG00000147262	GPR119	GPR119|139760	ENSG00000147262.3
ENSG00000147274	RBMX	RBMX|27316	ENSG00000147274.14
ENSG00000147316	MCPH1	MCPH1|79648	ENSG00000147316.12
ENSG00000147324	MFHAS1	MFHAS1|9258	ENSG00000147324.10
ENSG00000147364	FBXO25	FBXO25|26260	ENSG00000147364.16
ENSG00000147378	FATE1	FATE1|89885	ENSG00000147378.11
ENSG00000147380	OPN1MW	OPN1MW|2652	ENSG00000268221.5
ENSG00000147381	MAGEA4	MAGEA4|4103	ENSG00000147381.11
ENSG00000147382	FAM58A	FAM58A|92002	ENSG00000262919.7
ENSG00000147383	NSDHL	NSDHL|50814	ENSG00000147383.10
ENSG00000147394	ZNF185	ZNF185|7739	ENSG00000147394.18
ENSG00000147400	CETN2	CETN2|1069	ENSG00000147400.8
ENSG00000147402	GABRQ	GABRQ|55879	ENSG00000268089.2
ENSG00000147403	RPL10	RPL10|6134	ENSG00000147403.16
ENSG00000147408	CSGALNACT1	CSGALNACT1|55790	ENSG00000147408.14
ENSG00000147416	ATP6V1B2	ATP6V1B2|526	ENSG00000147416.10
ENSG00000147419	CCDC25	CCDC25|55246	ENSG00000147419.16
ENSG00000147421	HMBOX1	HMBOX1|79618	ENSG00000147421.17
ENSG00000147432	CHRNB3	CHRNB3|1142	ENSG00000147432.6
ENSG00000147434	CHRNA6	CHRNA6|8973	ENSG00000147434.8
ENSG00000147437	GNRH1	GNRH1|2796	ENSG00000147437.9
ENSG00000147439	BIN3	BIN3|55909	ENSG00000147439.11
ENSG00000147443	DOK2	DOK2|9046	ENSG00000147443.12
ENSG00000147454	SLC25A37	SLC25A37|51312	ENSG00000147454.13
ENSG00000147457	CHMP7	CHMP7|91782	ENSG00000147457.13
ENSG00000147459	DOCK5	DOCK5|80005	ENSG00000147459.17
ENSG00000147465	STAR	STAR|6770	ENSG00000147465.11
ENSG00000147471	PROSC	PROSC|11212	ENSG00000147471.11
ENSG00000147475	ERLIN2	ERLIN2|11160	ENSG00000147475.14
ENSG00000147481	SNTG1	SNTG1|54212	ENSG00000147481.13
ENSG00000147485	PXDNL	PXDNL|137902	ENSG00000147485.12
ENSG00000147488	ST18	ST18|9705	ENSG00000147488.11
ENSG00000147509	RGS20	RGS20|8601	ENSG00000147509.13
ENSG00000147526	TACC1	TACC1|6867	ENSG00000147526.19
ENSG00000147533	GOLGA7	GOLGA7|51125	ENSG00000147533.16
ENSG00000147535	PLPP5	PPAPDC1B|84513	ENSG00000147535.16
ENSG00000147536	GINS4	GINS4|84296	ENSG00000147536.11
ENSG00000147548	NSD3	WHSC1L1|54904	ENSG00000147548.16
ENSG00000147570	DNAJC5B	DNAJC5B|85479	ENSG00000147570.9
ENSG00000147571	CRH	CRH|1392	ENSG00000147571.4
ENSG00000147573	TRIM55	TRIM55|84675	ENSG00000147573.16
ENSG00000147576	ADHFE1	ADHFE1|137872	ENSG00000147576.15
ENSG00000147586	MRPS28	MRPS28|28957	ENSG00000147586.9
ENSG00000147588	PMP2	PMP2|5375	ENSG00000147588.6
ENSG00000147592	LACTB2	LACTB2|51110	ENSG00000147592.8
ENSG00000147596	PRDM14	PRDM14|63978	ENSG00000147596.3
ENSG00000147601	TERF1	TERF1|7013	ENSG00000147601.13
ENSG00000147604	RPL7	RPL7|6129	ENSG00000147604.13
ENSG00000147606	SLC26A7	SLC26A7|115111	ENSG00000147606.8
ENSG00000147613	PSKH2	PSKH2|85481	ENSG00000147613.7
ENSG00000147614	ATP6V0D2	ATP6V0D2|245972	ENSG00000147614.3
ENSG00000147642	SYBU	SYBU|55638	ENSG00000147642.16
ENSG00000147647	DPYS	DPYS|1807	ENSG00000147647.12
ENSG00000147649	MTDH	MTDH|92140	ENSG00000147649.9
ENSG00000147650	LRP12	LRP12|29967	ENSG00000147650.11
ENSG00000147654	EBAG9	EBAG9|9166	ENSG00000147654.14
ENSG00000147655	RSPO2	RSPO2|340419	ENSG00000147655.10
ENSG00000147669	POLR2K	POLR2K|5440	ENSG00000147669.10
ENSG00000147676	none	MAL2|114569	ENSG00000147676.13
ENSG00000147677	EIF3H	EIF3H|8667	ENSG00000147677.10
ENSG00000147679	UTP23	UTP23|84294	ENSG00000147679.11
ENSG00000147684	NDUFB9	NDUFB9|4715	ENSG00000147684.7
ENSG00000147687	TATDN1	none	ENSG00000147687.16
ENSG00000147689	FAM83A	FAM83A|84985	ENSG00000147689.16
ENSG00000147697	GSDMC	GSDMC|56169	ENSG00000147697.8
ENSG00000147724	FAM135B	FAM135B|51059	ENSG00000147724.11
ENSG00000147753	TTTY7	TTTY7|246122	ENSG00000147753.9
ENSG00000147761	TTTY7B	TTTY7|246122	ENSG00000147761.8
ENSG00000147789	ZNF7	ZNF7|7553	ENSG00000147789.15
ENSG00000147799	ARHGAP39	ARHGAP39|80728	ENSG00000147799.11
ENSG00000147804	SLC39A4	SLC39A4|55630	ENSG00000147804.9
ENSG00000147813	NAPRT	NAPRT1|93100	ENSG00000147813.15
ENSG00000147852	VLDLR	VLDLR|7436	ENSG00000147852.15
ENSG00000147853	AK3	AK3|50808	ENSG00000147853.16
ENSG00000147854	UHRF2	UHRF2|115426	ENSG00000147854.16
ENSG00000147862	NFIB	NFIB|4781	none
ENSG00000147869	CER1	CER1|9350	ENSG00000147869.4
ENSG00000147872	PLIN2	PLIN2|123	ENSG00000147872.9
ENSG00000147873	IFNA5	IFNA5|3442	ENSG00000147873.5
ENSG00000147874	HAUS6	HAUS6|54801	ENSG00000147874.10
ENSG00000147883	CDKN2B	CDKN2B|1030	ENSG00000147883.10
ENSG00000147885	IFNA16	IFNA16|3449	ENSG00000147885.4
ENSG00000147889	CDKN2A	CDKN2A|1029	ENSG00000147889.16
ENSG00000147894	C9orf72	C9orf72|203228	ENSG00000147894.14
ENSG00000147896	IFNK	IFNK|56832	ENSG00000147896.3
ENSG00000147905	ZCCHC7	ZCCHC7|84186	ENSG00000147905.17
ENSG00000147912	FBXO10	FBXO10|26267	ENSG00000147912.12
ENSG00000147926	SPATA31A3	FAM75A3|727830	none
ENSG00000147955	SIGMAR1	SIGMAR1|10280	ENSG00000147955.16
ENSG00000147996	CBWD5	CBWD3|445571	none
ENSG00000148019	CEP78	CEP78|84131	ENSG00000148019.12
ENSG00000148053	NTRK2	NTRK2|4915	ENSG00000148053.15
ENSG00000148057	IDNK	C9orf103|414328	ENSG00000148057.15
ENSG00000148082	SHC3	SHC3|53358	ENSG00000148082.9
ENSG00000148090	AUH	AUH|549	ENSG00000148090.11
ENSG00000148110	MFSD14B	HIATL1|84641	ENSG00000148110.15
ENSG00000148120	C9orf3	C9orf3|84909	ENSG00000148120.14
ENSG00000148123	PLPPR1	LPPR1|54886	ENSG00000148123.14
ENSG00000148136	OR13C4	OR13C4|138804	ENSG00000148136.5
ENSG00000148143	ZNF462	ZNF462|58499	ENSG00000148143.12
