ENSG	HUGO	GAF	GENCODE
ENSG00000013503	POLR3B	POLR3B|55703	ENSG00000013503.9
ENSG00000013523	ANGEL1	ANGEL1|23357	ENSG00000013523.9
ENSG00000013561	RNF14	RNF14|9604	ENSG00000013561.17
ENSG00000013563	DNASE1L1	DNASE1L1|1774	ENSG00000013563.13
ENSG00000013573	DDX11	DDX11|1663	ENSG00000013573.16
ENSG00000013583	HEBP1	HEBP1|50865	ENSG00000013583.8
ENSG00000013588	GPRC5A	GPRC5A|9052	ENSG00000013588.5
ENSG00000013619	MAMLD1	MAMLD1|10046	ENSG00000013619.13
ENSG00000013725	CD6	CD6|923	ENSG00000013725.14
ENSG00000013810	TACC3	TACC3|10460	ENSG00000013810.18
ENSG00000014123	UFL1	KIAA0776|23376	ENSG00000014123.9
ENSG00000014138	POLA2	POLA2|23649	ENSG00000014138.8
ENSG00000014164	ZC3H3	ZC3H3|23144	ENSG00000014164.6
ENSG00000014216	CAPN1	CAPN1|823	ENSG00000014216.15
ENSG00000014257	ACPP	ACPP|55	ENSG00000014257.15
ENSG00000014641	MDH1	none	ENSG00000014641.17
ENSG00000014824	SLC30A9	SLC30A9|10463	ENSG00000014824.13
ENSG00000014914	MTMR11	MTMR11|10903	ENSG00000014914.19
ENSG00000014919	COX15	COX15|1355	ENSG00000014919.12
ENSG00000015133	CCDC88C	CCDC88C|440193	ENSG00000015133.18
ENSG00000015153	YAF2	YAF2|10138	ENSG00000015153.14
ENSG00000015171	ZMYND11	ZMYND11|10771	ENSG00000015171.18
ENSG00000015285	WAS	WAS|7454	ENSG00000015285.10
ENSG00000015413	DPEP1	DPEP1|1800	ENSG00000015413.9
ENSG00000015475	BID	BID|637	ENSG00000015475.18
ENSG00000015479	MATR3	MATR3|9782	ENSG00000015479.17
ENSG00000015520	NPC1L1	NPC1L1|29881	ENSG00000015520.14
ENSG00000015532	XYLT2	XYLT2|64132	ENSG00000015532.9
ENSG00000015568	RGPD5	RGPD6|729540	ENSG00000015568.12
ENSG00000015592	STMN4	STMN4|81551	ENSG00000015592.16
ENSG00000015676	NUDCD3	NUDCD3|23386	ENSG00000015676.17
